province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
天津市,2016,693.1,617.55,0.03,611.51,6.039999999999964,4.8579062424095214e-05,0.0097805845680511,,26.18,112.29,138.47,0.810933776269228,0.1997835810128408,,
天津市,2017,734.2,611.0,0.07,603.41,7.590000000000032,0.000114566284779,0.0124222585924714,,24.53,110.53,135.06,0.8183770176217977,0.1839553255243802,9788.0,
天津市,2018,753.5,711.47,0.15,708.49,2.980000000000018,0.0002108310961811,0.0041885111107987,,19.65,99.29,118.94,0.8347906507482765,0.1578500331785003,11700.0,
天津市,2019,758.5,732.98,0.12,706.6,26.379999999999995,0.0001637152446178,0.0359900679418265,,15.58,93.6,109.18,0.8572998717713867,0.143941990771259,,324464.0
天津市,2020,745.7,771.61,0.1,741.04,30.57000000000005,0.0001295991498295,0.0396184601029017,,15.95,97.51,113.46,0.859421822668782,0.1521523400831433,,
天津市,2021,828.7,799.73,0.21,761.85,37.88,0.0002625886236604,0.0473659860202818,,17.58,105.77,123.35,0.8574787190920146,0.148847592614939,,419500.0
天津市,2022,883.0,764.89,0.14,715.72,49.16999999999996,0.0001830328543973,0.0642837532194171,37.29501564956945,16.74,111.61,128.35,0.8695753798208026,0.1453567383918459,,455500.0
天津市,2023,907.7,837.45,0.11,766.83,70.62,0.0001313511254403,0.0843274225326885,52.95654287966369,,,,,,67000.0,473900.0
宁夏回族自治区,2012,183.5,1005.9,19.01,954.7,51.19999999999993,0.0188984988567452,0.0508996918182721,,5.475899999999998,74.15929999999999,79.63519999999998,0.9312376938841116,0.4339792915531334,,
宁夏回族自治区,2013,184.5,1104.76,18.76,1011.6,93.15999999999995,0.0169810637604547,0.0843260074586335,,5.48,84.66,90.14,0.9392056800532504,0.4885636856368563,,
宁夏回族自治区,2014,184.9,1156.57,17.46,1041.6,114.97000000000004,0.0150963625202106,0.099406002230734,,4.6195284650712,89.92128106335029,94.54080952842148,0.9511372021446204,0.5113077854430583,,
宁夏回族自治区,2015,184.4,1155.0,15.53,1015.83,139.16999999999996,0.0134458874458874,0.1204935064935064,,6.1,89.42,95.52,0.936139028475712,0.5180043383947939,,
宁夏回族自治区,2016,188.7,1144.38,14.02,953.56,190.82000000000016,0.0122511753089008,0.1667453118719307,,8.1,91.42,99.52,0.9186093247588424,0.5273979862215157,,
宁夏回族自治区,2017,184.1,1380.94,15.45,1144.39,236.54999999999995,0.0111880313409706,0.1712963633467058,,8.22,97.42,105.64,0.9221885649375235,0.5738185768604019,,
宁夏回族自治区,2018,171.3,1609.97,19.76,1367.77,242.20000000000005,0.0122735206246079,0.1504375857935241,,3.09,83.43,86.52000000000001,0.9642857142857144,0.5050788091068301,,
宁夏回族自治区,2019,172.5,1765.97,21.87,1443.87,322.10000000000014,0.0123841288357106,0.1823926793773394,,3.25,87.6,90.85,0.9642267473858008,0.5266666666666666,,324464.0
宁夏回族自治区,2020,171.7,1882.36,22.5,1529.99,352.3699999999999,0.0119530801759493,0.187195860515523,,3.13,82.5,85.63,0.9634473899334346,0.4987186953989516,1334.0,
